The antibiotic may have destroyed bacteria causing my sinus infection.  But it may also have been caused by a virus, so its hard to say.	Some back pain, some nauseau.	Took the antibiotics for 14 days. Sinus infection was gone after the 6th day.
i was severly depressed for weeks and would just cry all the time. i had tried several other anidepressants and none of them worked. one day my doctor said lets try a new drug called effexor xr. i was started on 75 mg for about 2 months and was still depressed so then i was increased to 150 mg and have been on it since. i an so much happier and my family is also. this medicine has been my life saver and recommend anyone depressed to take this one	i very vivid dreams but i can live with this side effect to be happy	i found that the treatment plan has made life worth living
The treatmeant benifits are that I showed a slight decrease in wrinkles. I really think that if used with other products it could be better. I also used sunscreen everyday. I really didn't see a difference in the sagging of the skin . I thought it would help with collagen production. I am continuing to use the product. I hope I see a difference.	The side effects are dry skin. I can't wax my eyebrows without having the skin peeled off. I know they say to stop 3 days before you wax but it doesn't help. Also, living in florida, my skin became very sensitive to the sunlight. I also get a slight tingling when I apply my sunblock or lotion.	I went to my doctor and asked for a wrinkle treatment. He give me some samples of the creame. He then wrote me out a year prescription of the creame. He told me to apply it twice a day but, if my skin becomes dry, to reduce it to one a day. I preceeded to do that and it stopped some of the dryness.
Initially prescribed 25mg Zoloft for depression , but after two weeks my condition was markedly worse. I realize that each of us have different tolerances to various substances, and after my GP changed the medication to 30mg daily of Cymbalta my condition started to improve, but relapsed after about 3 weeks. The assumption was that I had required the higher dose of 60mg daily, and since taking 60mg daily my condition has improved to be close to my normal happy self with interests in various things. My advice is to find the medication that 'agrees' with you and stick with it for at least 1 month.	Dry mouth. Constipation.	Chewing gum to relieve dry mouth. Eating at least 8 prunes daily for constipation
The treatment helped the patient focus on her daily tasks and enabled her to 'get going' in the morning.  In turn, the patient was able to exercise daily which also helped her maintain concentration throughout the day.  Daily exercise also helped her maintain her moods at a stable level.	At first the patient took the medication before she went to bed, which kept her awake at night and did not allow her to sleep.  After a couple of week with inadequate sleep, she sought help and the doctor prescribed her sleeping medication, Ativan.  It turned out that the poor sleep was due to taking the medication improperly.  When that was corrected, the patient was able to sleep again and was able to function at a high rate.	The patient is being treated for bipolar I disorder, with the most recent episode severe depression.   Being bipolar, she is not able to take anti-depressants as this may induce mania.  Therefore strattera is an effective alternative which enables the patient to function at a higher level thus treating some forms of depression.  Other drugs are taken in combination with strattera to help the patient function at an optimal level each day.
Blood pressure medicine lowered pressure and controled very well. starting bp was 140/100 to now at 115/65 or close to that. Thyroid medicine used after partial thyroidectomy due to benign cyst. Can't tell whether working on not. This is mostly based on acceptable blood levels.	Blood pressure medicine has a mild diaretic which causes frequent urination. Also some drowiness noticed so I take this at night before bed. Thyoid medicine really does not have any side affects for me. Tolerated well.	I take low dose of Prempro each day in the morning. No problems and tolerated well. At first had some breakthrough bleeding but that stopped after a couple of months. Positives outweighed. Mood improved, less vaginal dryness, skin cleared as well.
Infection cleared up but the cough did not. The Bronchitis returned and is still present. The Z pack was used on 2 seperate occasions but after the cough mucus was back to a clear color, my physician said I was fine. It is 3 weeks later and I still have Bronchitis and although my coughing is better it certainly is not gone.	The side effects were stomach cramps and diarrhea for 2 weeks. I also took yogurt but that did not seem to help much. The cramps came within 48 hours of the first dose. It was easy to take but as i cramped so much I am really wondering if I did not take the Z pack would I have been in the same place as I am now without the heavy antibiotics.	"My physician said that I should rest, keep the house at 65 ' and drink warm drinks. I was very sick with not being able to sleep, coughing as if my chest bones would crack open and without sleep the days were very difficult.



I was not able to function during the day as I was sleep deprived and felt very bad for a week."
lessened the symptoms of my depression after taking the medication for about 2 to 3 weeks time, increased my appetite level, made my sleep more regular (I was either sleeping too much, or too little before taking the medication), increased my energy level	delayed or difficulty climaxing during sex	one 20mg pill each day for 12 months, in addition to psychotherapy
After just three weeks, I felt immensely better and began to enjoy the things that previously I had enjoyed--liked gardening and playing tennis. I also slept soundly. It lifted my mood dramatically, but never made me manic. I also felt more like being with people and noticed that I was no longer so preoccupied with myself or awkwardly self-consciousness. In short, I wasn't depressed and anxious anymore!	I gained about 5 lbs, which was not a problem for me since I'm slender to begin with. There was also some mild constipation, well not really constipation, but a decrease in the number of daily bowel movements. To offset that, I just drank more water. Not a big deal.	I used this drug after trying Wellbutrin, which made me too restless and hyper. It was proscribed by a psychiatrist, who was very well versed in pharmacology, for a depression that came about during menopause. I took it regularly for three years; it completely stopped negative thinking and enabled me to sleep deeply for the first time in several years. I had regular liver check-ups, but never had any decrease in correct liver functioning. After three years, I felt I was ready to cut back on the medication, which I did very, very gradually over the next year and a half so that there was no withdrawal period at all. I've been fine without it now for two years.
I no longer suffered from heartburn and acid reflux.  One pill per day allows me to enjoy eating again and have no adverse effects from any type of food.  At least none that I am aware of.	I have had no ill effects from the Lipitor or the Nexium.  However, my liver function numbers have increased slightly since being on Lipitor but that was expected to some degree.  I have been advise to lose about 20 pounds and we'll test again to see if they drop.	I have blood drawn for cholesterol and liver function tests every 6 months, some times more frequent if my doctor doesn't like the numbers.  Otherwise my cholesterol has been lowered considerably and I have no other side effects that I'm aware of.
elevation of mood and clarity of thought.  Progress stalled out at 300 mg, but with increase to 450 mg can tell the difference.  I'm able to finally think and plan ahead and chip away at all the clutter I've not been able to deal with which accumulated while depressed.	none at 300 mg.  Possible tinnitus from increase to 450 mg, not evaluated by an audiologist yet though.  Did experience weight loss (7 lbs.) at 450 mg dosage.	Initial treatment included therapy and Lexapro in addition to Wellbutrin XL.  Now only on the Wellbutrin XL.  I see the psychiatrist every 4 months for re-evaluation.
I have tried so many anti depressants and always go back to zoloft.. works the best and is least expensive.. $10 a month compared to cymbalta for $400 a month.. It really works for me well.	a little dizzy at first but thats it.. only a few days If you miss it for a few days you will have some withdrawls.. light headedness and jittery	Just makes you feel better... see pych once a month then see a therapist as often as needed.. its always best to combine the two
After suffering a spinal cord injury in 1987 resulting in quadriplegia (C5/C6 complete), I experienced disassociated pain that was concentrated in my right thumb.  The problem got increasingly worse over the following years.  I ended up having to take a lot of ibuprofen and Vicodin, just to relieve the pain announce to allow me to get some work done.  However, the resulting side effects caused me to sleep a lot.  It also lead to depression.  I was finally given a prescription for gabapentin to try out.  It started working almost immediately.  After about two weeks I was rarely having the pain in my thumb anymore.  It doesn't cause me to get sleepy or feel drugged (like the Vicodin) so I have been able to work and concentrate on things once again.  It also seems to have helped with my depression, although that may have more to do with not having to deal with the pain, or the side effects of the pain relievers I was taking before.	I have noticed very little side effects at all.  I was told it may affect the effectiveness of other pain relievers, but so far I have not noticed that -- when I needed to take a Vicodin when my thumb did still hurt on occasion.  I have on rare occasions noticed some dizziness, although I am not sure I can attribute that to the drug (I have low blood pressure because of my spinal cord injury that can sometimes cause that to happen as well).	I take the medication three times a day as prescribed, drinking at least a cup of water with each dose.  I was originally taking a smaller dose of the gabapentin, but after about six months my thumb pain started to become more frequent again.  However, my doctor prescribe me a higher dose and that helped.  I do still have problems with the pain from time to time, but not at all like I used to.  All in all the drug has made a huge difference in my life thus far.
reduction in visible tremor, caused by stress and kinetic movement. 100% reduction in headaches during period.	initial few days, tiredness was evident	four 10mg tablets taken daily throughout period. The medication is a beta blocker and has various medical uses. Including the treatment of high blood pressure, tremor and reduction of migraine. You are advised not to take alcohol whilst taking this medicine.
Skin is clear smooth and brite. Best it has looked in years	initial breakouts worsen, peeling, dryness, redness, burning for the first few weeks and then got better.	The first few weeks were horrible with bad break outs, dryness, burning, redness, Peeling, It was a nightmare. Almost gave up on it but my dr would not let me. I then started using a moisteriser right after washing my face and then waited 1/2 hour to 1 hour before the Taz. Symptoms eased up and now my skin is beautiful. This stuff Rocks. Don't give up and keep it off of your lips!
Allowed client to sleep without itching.	restlessness during the day. Nightmares.	Client developed rash with many itchy bumps, could not get sleep or keep hands off bumps. Prednisone temporarily provided the client with mild relief, also calamine lotion was applied topically and seemed to provide some relief. Rash is subsiding mildly after one week of the Prednisone and calamine lotion. I would say if this symptom comes back that the client would use it again based on this experience.
Depression was lifted. Anxiety lessened. General feeling of well-being for the first time in my entire life.	decreased sexual function, horrific time trying to stop using it. I was told by many doctors there were no withdrawal symptoms so I thought I was crazy, but I was not. THe withdrawal was very hard and it took me several attempts before I could get off it.	"I began taking 10 mg. in the morning and 10 mg. at night. THis was the best dose, but as I began to feel the need to get off the drug I eliminated the 10 mg at night. I felt a slight drop in well-being, but adjusted to it.

THe withdrawal rom only 10 mg took several months and required the substitution of wellbutrin on order to get through it.

I now take 150mg of wellbutrin which has a mood stabilizing effect, but not the feeling of ""well-being"" I had from prozac."
I had debilitating panic attacks and agoraphobia and Celexa completely saved me, allowed me to go live my life again. I even took a low dose and it still worked amazingly well, though it did take nearly a month to "kick in."	In the beginning I had nightmares and some nausea, but that all passed within a few weeks. When I stopped taking the medication, I did suffer some side effects.	I took 20/mg a day each day for some number of years.
Strattera helped my son slow down without making him groggy or taking away from his personality.	My son became a little whiney in the evening when the medication started to wear off.	I have always known that my son had ADHD, evan as a baby.  I started looking into medication last year.  My son was in 1st grade and had already been suspended from school 3 times.  He also was in the principals office at least 3 times a week.  He was not able to sit still or focus and was having trouble making friends because of his temper.  My husband was against medication, but I talked him into a non-stimulant. We tried Intuniv first, but, that dropped his blood pressure to a dangerous level. Then we found Strattera, our miracle drug.  Within a week we noticed a HUGE difference.  My sons outburst of rage had completely stopped.  This year he hasnt been to the principals office once and his grades are mostly A's with a few B's.  He has also become very popular this year and is invited to almost every Birthday party. I cant tell you how hard it is to see every child in the class invited to birthday parties except your son.  The best part is he is still himself.  The medication doesnt make him groggy or zombie like.  I dont know what we would have done without this drug.  The only side effect we noticed was that he would get a little more whiney than usual in the evening, when the medication was wearing off.  Other than that, we havent noticed any other side effects.  Thank you Strattera
birth control made easy only once a month	i was nauseaus the fist cuple of months but then the symptoms disapered and it also helped control my period irregularity.	WEAR THE RING 3 WEEKS IN A ROW AND REMOVE THE WEEK OF YOUR PERIOD AND INSERT A NEW RING THE FIRST SUNDAY AFTER YOUR PERIOD.
The acne has decreased and I have not had major skin irritation or sunburn like I know other acne treatments can cause.	Mild dry skin that improves with the use of cream.	I was prescribed the medication for moderate acne. I have been using it every night, a pea-sized amount all over my face except eyes, 30 minutes after washing and drying my face with a mild soap. I wait unitl it dries before going to bed, so it won't smear off. I use a moisturizing cream the next day with SPF of at least 15.
reduced total cholesterol by 42 / HDL increased by 5	some nausea at first; diarrhea (abated after 1st month)	Continue on current dose; recheck labs in 6 months. Follow low fat (esp hydrogenated fats) diet
lowered blood pressure	I did experience some bowel changes although the doctor did not seem to think that this would be the result of the drug. I do, however. I experienced constipation.	One 16 mg tablet to be taken daily. I had been given other blood pressure medication previously which I did not respond as well to so It took a few tries to get it right. I would like to be able to stop taking the medication and am trying to lose weight and lead a healthier lifestyle but all the literature seems to suggest that I may always need to take the medication.
Lowered blood pressure, regression of LVH.	Annoying cough night or day ocassionally @ 10mg. Cough almost non-existent @ 20mg. No other noticeable side effects.	"Daily dosage of Lisinpril with HCTZ (water pill) 20mg. Reduce / limit intake of all forms of dietary sodium to 1000 - 1500mg. per day to reduce pitting edema. Brisk walking exercise 3-5 times a week for 45 minutes per session.



Baby asprin daily and Vytorin to effect cholesterol levels."
I had severe coughing fits for more than two weeks. Several varieties of over the counter medications did not seem to help, neither did home remedies. Finally I consulted my physician and she proscribed Amoxicillin. I took it for 10 days, 500 mg tablets three times daily with food. At the end of the treatment period my coughing had subsided and then disappeared completely.	The only noticeable side effect was unpleasant aftertaste.	I took it for 10 days, 500 mg tablets three times daily with food.
I felt more flexible and i could sleep better.  Also, I could return to work much faster than expected.	there were no side effects that i could tell.  i returned to work after 3 days in pain.	i followed the directions and everything worked well.  I was not dizzy or lightheaded or any other problems that I noticed consciosly.
no longer caught up in constant delusions,able to attend partial hospital program 5 days a week. i maintain my own apartment and live with independence.i socialize with friends and i am no longer in and out of hospital.i look forward to joining the y.m.c.a. and start exercising and also am considering a part time job.	weight gain around mid-section,loss of libido.	zyprexa has enabled me to enjoy life again and keep me out of hospital.unlike the older anti-psychotics i'm not apathetic about every thing,but enjoy doing things.
I get very bad panic attacks and completely break down no matter where I am. I decided that I couldn't let it control my life anymore, so I talked to my doctor and he prescribed me clonazepam. This drug is very dependable and works fast. Whenever I feel anxiety coming on I will take 1 or 2 pills and I'm fine.	It makes me sleepy, but it's definitely worth it. I'd rather feel tired than have a panic attack	As needed
reduced the fatigue, swelling and pain associated with RA	mild tendency to gain weight, however appetite which had been flagging was regained	Take the medication in larger doses at the very beginning, and then taper off gradually.  Very important to taper, no sudden stops or starts to this medication, adverse effects if you do.
in theory, my bones should have gotten stronger, as measured by the bone scan done at my gynecologist office once every 18 months	I first tried the tablets and they would sit on my stomach as if I had a brick for breakfast. So I tried the oral solution which, in fact, was better on the stomach but,still, not completely without side effects. Most of the days I took Fosamax I had a slight stomach discomfort during the morning.	I took Fosamax for almost 4 years and after 2 bone density scans which showed no improvement  I decided to stop the treatment, against my doctor advice which was to take Fosamax for at least 5 years. I believe that we still do not know enough about how the bone keeps itself healthy and that bone scans are not yet reliable. It's a big business and I finally refused to keep a medication that is so hard on the digestive system and can also have very dangerous side effects (frozen bones, I believe it is called). I still have to be convinced that a low density bone is not necessarily stronger than a bone with more density. Waiting for more research I am trying to walk as much as possible and to follow a reasonable diet. And to be at peace with myself...  Thanks!
Alprazolam worked wonders for me I wish I had gotten prescribed a long time ago, works very well for anxiety and panic.	At first it made me a little tired but that did not last long	I take it prn when my anxiety is at a high level, I have one with me at all times incase I need it, one usually does the trick and I feel "normal" it is a feeling I have not had in a long time, I would recomment this drug to anyone suffering from anxiety and or panic.
I feel the treatment was very helpful in keeping my skin clear looking,and i think somewhat tighter,  it also  gave my face a healthy color and appearance ,it was less dull the way aging skin can become. I also think it did keep some lines at bay.it gave me a much improved appearance,i have been using renova for a few years and I will continue to use this cream for a long time to come.	peeling for the first few weeks and a lot of redness in the first 2 weeks also.	in the evening after washing my face lightly  without hard rubbing ,using a mild face cleanser, i would let it dry for a good half hour then apply the renova cream also lightly no hard rubing in ,then let it be absorbed into skin.
I had terrible itching, watery eyes, and sneezing from seasonal allergies.  This medication did not completely elimiate my symptoms, but is reduced them to a tolerable level without making me too tired or doped up to function at work.	I think I did experience some drowsiness from the medication, but nothing that was overly so such that I could not function at work.	The doseage was one pill/day
I lived in a constant state of panic (shortness of breath, rapid heart rate, flushed feeling), and this medication completely erased all these symptoms.  I can now think clearly and make rational decisions.  I chose to stay on this very low dose and take an Ativan on the rare occasion a panic attack breaks through.	I feel a little drowsy and slightly lightheaded for about 30 minutes after taking medicine, but it is not severe enough to interfere with my work or life.	I take half a 10 mg tablet in the morning and the other half in the late afternoon.
helps with ibs-c	slightly "drugged" feeling, went away after a few days	supposed to take one tablet before each meal and one at bedtime. i take only one at bedtime and have still had considerable success w/ibs symptoms. i also supplement with acacia powder, apple cider vinegar, acidophilus supplements, and magnesium supplements.
My depression has lifted and I am able to concentrate more than I was previuosly	weight loss and loss of appetite	simply remember to take medication
About 14 years ago I started hyperventilating for no apparent reason.  I would wake up in the morning and within an hour I felt like I had to struggle to breath.  This would continue all day, every day.  After 5 years, I was prescribed alprazolam (the generic Xanax).  It worked almost immediately.  I still have some days that are worse than others, but it has been a lifesaver for me.  I take one when I get up and then 2 or 3 times again during the day as needed.  It stops the hyperventilating totally for the most part.	The only side effect is a mild drowsiness.  I take a very small dose.  The highest I take at one time is .5 mg.	I take one .25 mg pill within 1 hour of waking up.  I usually take the second one around noon and another before going to bed.  If my condition is worse for whatever reason, then I might take another one during the day, or one .5 mg in the evening.  Sometimes if I'm busy and I miss taking a dose, and I feel myself beginning to hyperventilate, I'll then take one.  It works fast.
The Trental reduced my viral load, increased my sex drive from none to moderate and the side effects were just some stomach upset, which was fixed by reducing my dose to twice a day.	Mild nausea and mild dizziness that were dose related.	I wanted to see if the Trental would reduce my viral load and it did.
"I do not feel there were any benefits from this treatment - only side effects.

Weaning off the the drug was extremely difficult."	Impotence, tremor	I was given Effexor to take once a day for depression. I did not derive much benefit. I received a lot of benefit from seeing a therapist and taking nutritional supplements.
Could fairly quickly fall asleep, and usually stay alseep, with little "sleep hangover" problem that most other medications result in. I could function in the morning. My general health started improving (fewer flues and colds, headaches, stress and depression, and I had much, much less pain as I started getting regular sleep.	Some constipation, maybe dry mouth and eyes (not sure if there is a direct cause and effect, but definitely an overlap in timing). About three months ago I started waking up during the night (anywhere from 12:30 am to 3 am) without being able to go back to sleep. Have tried numerous other medications and they all had much, much worse side effects that trazodone.	I'm not sure what you mean by this, I take trazodone nightly, and have taken it for at least two years. My worst experience from other sleep medications came from ambien (well before my doctor had even heard of the side effects I was having, nor were they listed on the medication or mentioned in the news). I also take cymbalta in conjunction with trazadone, which also supposedly helps you sleep, but the cymbalta alone is not effective for sleep at all for me.
The combination therapy worked well but after discontinuation of therapy the condition returned and was worse than previous time.	dry skin and occasional nausea	I cleanse and apply elocon twice daily to my face and take antibiotics twice a day for 3 months my face cleared but returned after discontinuation of therapy.  Now my dermatologist has restarted the antibiotics orally and added retinoid cream twice a day.
It really helps keep my acne at bay - keeps pores clear and reduces frequency of inflamed pimples, reduces red marks from acne breakouts.  It is less drying/irritating than most other acne topicals.	Slight itching for the first month or so.	I was already pretty clear from going to an esthetician at an acne clinic, but I was just looking for an additional boost to the results I already had.  I previously discovered that I could not use anything other than very mild OTC retinoids, as they tended to make my acne flare up.  Finacea did not do this.  The Finacea was a good addition to my skin care regimen and has decreased the frequency of inflamed pimples and the tiny pustules I sometimes get around my nose.  Now I use Finacea in the morning, and Vivant's Derm A Gel in the evening, along with 5% benzoyl peroxide on my more acne prone areas (chin and jawline).
marked improvement in behavior	weight loss, jittery feeling, insomnia, withdrawal, isolation	I began taking ritalin and zoloft almost three years ago to treat ADHD and depression.  I also began seeing a therapist once a week.  I saw improvement, but it was slow and graduate at first, particularly with the regard to the Zoloft.  I saw immediate improvement with the ritalin.  It changed my daily life.  It keeps me calm; i am able to focus better and for longer.   I am no longer seeing the therapist nor am i taking the zoloft and today i feel great.
I switched from Zoloft because the Cymbalta wasn't supposed to effect libido negatively.  Having ended my marriage and gone through menopause I don't feel I can judge that aspect fairly.  However, I feel the Cymbalta is much more effective in keeping the dark cloud off my head, allowing me to be more positive toward life on a consistent basis.	Dry mouth.	I really notice when I miss just one dose; it takes 2 - 3 days to catch up, but then I become very aware of negative feelings and apathy.  I am careful to take the dose in the mornings so it doesn't affect my sleep, but have taken as late as 4pm and not had sleep issues.
Slowed hair loss in front and top of scalp.  Regrew hair at the back of the scalp and on sides.  It doesn't appear that hair loss has ceased completely for MPB, but increased hair grow in another areas makes my head appear fuller	"Loss of limbido.  My case probably isn't a perfect control because I lost a high paying job, moved to another state, and moved in with my girlfriend when I began taking the medication.  Within 4 months, started a brand new job and encountered other new stressors.  



I can attribute some of the loss of libido to job related stress and moving in with my girlfriend of 5 years.  I would guess the effects on libido would be very minimal had my job and living situations remained constant.



I'm overall much happier having thicker hair than I would be with a consistent sex drive.  I am able to get more work done and focus more on important life goals than being constantly distracted with sex.  Instead of wanting sex 5 times per week, I only want it twice per month now.  Again, this is probably a plus"	"I started slowing losing hair when I was 23-24.  The hair loss was unnoticeable until I turned 27.  My receding hairline started to become very apparent at 27, especially in my part line.  I began taking propecia when I turned 28 and it appears to have regrown hair on the back and sides of my scalp and has slowed my receding hairline.  Unfortunately, it appears that I am still developing a minor bald spot in the middle of my scalp.  



Based on my current rate of hair loss, I'm guessing that I will maintain a healthy head of hair for the next 4-5 years.  At 35, I probably won't care how my hair looks because I'll be well out of the dating game.  



I don't think Propecia is a cure-all for my particular pattern of baldness, but I feel it would be highly effective for others.  Anyone who is experiencing baldness at the back of scalp would benefit greatly.  The receding hairline will probably continue, but at a much slower pace.  I may eventually go completely bald regardless, but I honestly feel I've saved 3-5 years of youthful appearance."
stopped my bladder incontinence when used in combination with my other bladder medications on my neurogenic bladder	drowsiness, urinary retention may have caused dry mouth but not as bad as using ditropan does	This drug was added as I have very strong bladder spasms. It's side effects are better than ditropan and I would recommend people try it first
Gradual lessening in severity and frequency of comedonal acne. Gradual slight improvement in skin texture, ie. fine lines around eyes appear slightly reduced, skin tone appears more even and sun damage appears reduced.	Slight increase in skin sensitivity, with stinging and mild redness experienced only after washing, and occasional slight flaking around mouth and eye areas. Increased sensitivity to UV light, necessitating daily use of high PPD sunscreen.	I started applying a pea-sized amount of the Retin-A cream on every second night about one hour after washing. After two weeks, because there were no adverse effects for me I started using the cream nightly. With nightly usage I experienced very slight side-effects of sensitivity, slight redness after washing and occasional slight flaking. None of these effects were severe so I continued with nightly treatment. After approximately one month I experienced gradual lessening in severity and frequency of comedonic acne. Comedones still formed, but were less likely to become inflamed/infected. Slight reduction in surface oiliness noted. After about 10 weeks I noted a slight improvement in sundamage and skin texture. Overall I was very pleased with the efficacy of this product, but may in the future switch to the Retin-A gel to see if this results in a further reduction of comedones.
Sinus and chest infections were much better after 7 days. No more sinus pain or runny nose, and was no longer coughing up mucus.	Terrible bitter taste in the mouth, some mild nausea, and a yeast infection.	I didnt think this antibiotic was working because I had been taking it for 5 days and nothing was getting better, then around day 7 I was starting to turn around.
Reduced inflammation of affected areas.  Reduced itching and scaling in the affected areas.  Reduced itching in associated areas not specifically affected with the condition.	Thinning of the skin in the treatment area.  Dryness in the area of treatment. Capillary breakdown in the treatment area.	Apply twice daily for a period of three weeks.   Do not use hot water on treatment area.  After shower or bath gently dry with towel. Moisturize often.
Ability to focus, motivation, energy, stamina all increased. Feeling of well-being after being in the 'black hole' of depression. My sleep is improved, have no trouble going to sleep, quells disturbing\busy dreams that used to leave me exhausted in the morning. I don't lie awake at night trying to slow down or calm my mind.	Dry mouth leading to some dental cavities. Desire to smoke is increased. Jaw/hand/foot clenching. Loss of appetite, great for keeping thin, sometimes have to force myself to eat/drink.	Took 20mg 3x a day. Immediate release worked better than the extended version because I had more control of the med to taper it to my needs/schedule during the day.
